Class,Age,Sex,Fate
first,adult,male,survived
first,adult,male,survived
first,adult,male,survived
first,adult,male,survived
first,adult,male,survived
first,adult,male,survived
first,adult,male,survived
first,adult,male,survived
first,adult,male,survived
first,adult,male,survived
first,adult,male,survived
first,adult,male,survived
first,adult,male,survived
first,adult,male,survived
first,adult,male,survived
first,adult,male,survived
first,adult,male,survived
first,adult,male,survived
first,adult,male,survived
first,adult,male,survived
first,adult,male,survived
first,adult,male,survived
first,adult,male,survived
first,adult,male,survived
first,adult,male,survived
first,adult,male,survived
first,adult,male,survived
first,adult,male,survived
first,adult,male,survived
first,adult,male,survived
first,adult,male,survived
first,adult,male,survived
first,adult,male,survived
first,adult,male,survived
first,adult,male,survived
first,adult,male,survived
first,adult,male,survived
first,adult,male,survived
first,adult,male,survived
first,adult,male,survived
first,adult,male,survived
first,adult,male,survived
first,adult,male,survived
first,adult,male,survived
first,adult,male,survived
first,adult,male,survived
first,adult,male,survived
first,adult,male,survived
first,adult,male,survived
first,adult,male,survived
first,adult,male,survived
first,adult,male,survived
first,adult,male,survived
first,adult,male,survived
first,adult,male,survived
first,adult,male,survived
first,adult,male,survived
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,male,died
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
first,adult,female,survived
