Class,Age,Sex,Fate
1 first,adult,male,survived
1 first,adult,male,survived
1 first,adult,male,survived
1 first,adult,male,survived
1 first,adult,male,survived
1 first,adult,male,survived
1 first,adult,male,survived
1 first,adult,male,survived
1 first,adult,male,survived
1 first,adult,male,survived
1 first,adult,male,survived
1 first,adult,male,survived
1 first,adult,male,survived
1 first,adult,male,survived
1 first,adult,male,survived
1 first,adult,male,survived
1 first,adult,male,survived
1 first,adult,male,survived
1 first,adult,male,survived
1 first,adult,male,survived
1 first,adult,male,survived
1 first,adult,male,survived
1 first,adult,male,survived
1 first,adult,male,survived
1 first,adult,male,survived
1 first,adult,male,survived
1 first,adult,male,survived
1 first,adult,male,survived
1 first,adult,male,survived
1 first,adult,male,survived
1 first,adult,male,survived
1 first,adult,male,survived
1 first,adult,male,survived
1 first,adult,male,survived
1 first,adult,male,survived
1 first,adult,male,survived
1 first,adult,male,survived
1 first,adult,male,survived
1 first,adult,male,survived
1 first,adult,male,survived
1 first,adult,male,survived
1 first,adult,male,survived
1 first,adult,male,survived
1 first,adult,male,survived
1 first,adult,male,survived
1 first,adult,male,survived
1 first,adult,male,survived
1 first,adult,male,survived
1 first,adult,male,survived
1 first,adult,male,survived
1 first,adult,male,survived
1 first,adult,male,survived
1 first,adult,male,survived
1 first,adult,male,survived
1 first,adult,male,survived
1 first,adult,male,survived
1 first,adult,male,survived
1 first,adult,male,died
1 first,adult,male,died
1 first,adult,male,died
1 first,adult,male,died
1 first,adult,male,died
1 first,adult,male,died
1 first,adult,male,died
1 first,adult,male,died
1 first,adult,male,died
1 first,adult,male,died
1 first,adult,male,died
1 first,adult,male,died
1 first,adult,male,died
1 first,adult,male,died
1 first,adult,male,died
1 first,adult,male,died
1 first,adult,male,died
1 first,adult,male,died
1 first,adult,male,died
1 first,adult,male,died
1 first,adult,male,died
1 first,adult,male,died
1 first,adult,male,died
1 first,adult,male,died
1 first,adult,male,died
1 first,adult,male,died
1 first,adult,male,died
1 first,adult,male,died
1 first,adult,male,died
1 first,adult,male,died
1 first,adult,male,died
1 first,adult,male,died
1 first,adult,male,died
1 first,adult,male,died
1 first,adult,male,died
1 first,adult,male,died
1 first,adult,male,died
1 first,adult,male,died
1 first,adult,male,died
1 first,adult,male,died
1 first,adult,male,died
1 first,adult,male,died
1 first,adult,male,died
1 first,adult,male,died
1 first,adult,male,died
1 first,adult,male,died
1 first,adult,male,died
1 first,adult,male,died
1 first,adult,male,died
1 first,adult,male,died
1 first,adult,male,died
1 first,adult,male,died
1 first,adult,male,died
1 first,adult,male,died
1 first,adult,male,died
1 first,adult,male,died
1 first,adult,male,died
1 first,adult,male,died
1 first,adult,male,died
1 first,adult,male,died
1 first,adult,male,died
1 first,adult,male,died
1 first,adult,male,died
1 first,adult,male,died
1 first,adult,male,died
1 first,adult,male,died
1 first,adult,male,died
1 first,adult,male,died
1 first,adult,male,died
1 first,adult,male,died
1 first,adult,male,died
1 first,adult,male,died
1 first,adult,male,died
1 first,adult,male,died
1 first,adult,male,died
1 first,adult,male,died
1 first,adult,male,died
1 first,adult,male,died
1 first,adult,male,died
1 first,adult,male,died
1 first,adult,male,died
1 first,adult,male,died
1 first,adult,male,died
1 first,adult,male,died
1 first,adult,male,died
1 first,adult,male,died
1 first,adult,male,died
1 first,adult,male,died
